NEWELL RUBBERMAID CO.,
NEWMONT MINING CORP. (HLDG. CO.),
NIAGARA MOHAWK POWER,
NORAM ENERGY CORP.,
NORDSTROM(OLD),
NORFOLK SOUTHERN CORP.,702165
NORTEL NETWORKS CORP HLDG CO.,
NORTHROP GRUMMAN CORP.,1133421
NOVELL INC.,
NUCOR CORP.,73309
NYNEX CORP.,
ONEOK INC.,1039684
OCCIDENTAL PETROLEUM,797468
OGDEN CORP. (OLD),
OHIO EDISON,73960
ORACLE CORP.,777676
ORYX ENERGY CO.,
OSHKOSH B'GOSH(OLD),
OUTBOARD MARINE(OLD),
OWENS CORNING,
PACCAR INC.,75362
PG&E CORP.,1004980
PNC BANK CORP.,713676
PPG INDUSTRIES,79879
PACIFICORP,75594
PACIFIC ENTERPRISES,
PACIFIC TELESIS,732716
PALL CORP.,75829
PANENERGY CORP.,
PARKER-HANNIFIN,
PENNEY (J.C.),
PENNZOIL CO.,
PEOPLES ENERGY,77385
PEP BOYS,77449
PEPSICO INC.,77476
PERKIN-ELMER,
PERKINELMER,
PET INC.,
PFIZER,
PHELPS DODGE,78066
PHILIP MORRIS,
PHILLIPS PETROLEUM,
PIONEER HI-BRED INT'L,
PITNEY-BOWES,
PITTSTON SERVICES GROUP,
PLACER DOME INC.,819996
POLAROID CORP.,79326
POTLATCH CORP.,1338749
PRAXAIR,
PREMARK INT'L,
PROCTER & GAMBLE,80424
PROGRESS ENERGY,
PROVIDIAN FINANCIAL CORP.,
PUBLIC SERV. ENTERPRISE INC.,
PULTE HOMES,
QUAKER OATS,
RADIOSHACK CORP,96289
RALSTON-RALSTON PURINA GP,
RAYCHEM CORP.,82206
RAYTHEON CO. (NEW),
REEBOK INTERNATIONAL,770949
REYNOLDS METALS,
RITE AID,84129
ROCKWELL INTERNATIONAL,1024478
ROHM & HAAS,
ROLLINS ENVIRONMENTAL(OLD),
ROWAN COS.,
ROYAL DUTCH PETROLEUM,85486
RUBBERMAID INC.,814453
RUSSELL CORP.,85812
RYAN'S FAMILY STEAK HOUSES,
RYDER SYSTEM,85961
SAFECO CORP.,86104
SBC COMMUNICATIONS INC.,
SPX CORP. (OLD2),
SAFETY-KLEEN,
SALOMON ENTERPRISES,
SANTA FE ENERGY RESOURCES,
SANTA FE PACIFIC CORP.,
SANTA FE PACIFIC GOLD,
SARA LEE CORP.,
SCHERING-PLOUGH,
SCHLUMBERGER LTD.,87347
SCIENTIFIC-ATLANTA,
SCOTT PAPER,
SEAGRAM CO. LTD. (US),
SEARS,
SERVICE CORP. INTERNATIONAL,
SHARED MEDICAL SYSTEMS,
SHAWMUT NATIONAL CORP.,
SHERWIN-WILLIAMS,
SHONEY'S INC.(OLD),
SIGMA-ALDRICH,
SKYLINE CORP.(OLD),
SNAP-ON INC.,
SONAT INC.,
SOUTHERN CO.,1110544
SOUTHWEST AIRLINES,92380
SPRINGS INDUSTRIES INC.,
SPRINT CORP. FON,
ST JUDE MEDICAL,203077
ST. PAUL COS.,
STANLEY WORKS,93556
STONE CONTAINER,
STRIDE RITE(OLD),
SUN MICROSYSTEMS,709519
SUNTRUST BANKS,750556
SUNOCO.,
SUPERVALU INC.,95521
SYSCO CORP.,96021
TJX COMPANIES INC.,109198
TRW INC.,100030
TXU CORP.,1023291
TANDEM COMPUTERS INC.,
TARGET CORP.,27419
TEKTRONIX INC.,96879
TELE-COMMUNICATIONS,
TELEDYNE INC.,
TEMPLE-INLAND,
TENET HEALTHCARE CORP.,70318
TENNECO INC.,1024725
TEXACO INC.,96977
TEXAS INSTRUMENTS,97476
TEXTRON INC.,217346
THE PROMUS COMPANIES,
THOMAS & BETTS,97854
TIME WARNER INC.,1105705
TIMES MIRROR,925260
TIMKEN CO.,98362
TORCHMARK CORP.,320335
TOYS R US HLDG. COS.,
TRANSAMERICA CORP.,99189
TRANSCO ENERGY,98537
TRAVELERS GROUP INC.,
TRIBUNE CO.,726513
TYCO INTERNATIONAL,833444
U.S. BANCORP (OLD),
U.S. HEALTHCARE,
U.S. SURGICAL,
UNUM CORP.,
US WEST INC.,
USAIRWAYS GROUP INC.,
USF&G CORP.,353944
USLIFE CORP.,
UST INC.,827165
USX-MARATHON GROUP,
USX-U.S. STEEL GROUP,
UNICOM CORP.,
UNILEVER N.V.,110390
UNION CAMP,
UNION CARBIDE,100790
UNION ELECTRIC CO.,100826
UNION PACIFIC,100885
UNISYS CORP.,746838
UNITED HEALTH GROUP INC.,
UNITED TECHNOLOGIES,101829
UNOCAL CORP.,716039
UPJOHN CO.,
V.F. CORP.,
VARITY CORP.,
VERIZON COMMUNICATIONS,732712
VIACOM INC.,813828
WACHOVIA CORP.,36995
WAL-MART STORES,1340909
WALGREEN CO.,104207
WALT DISNEY CO.,1001039
WARNER-LAMBERT,
WASTE MANAGEMENT INC. (OLD),
WELLS FARGO,1145991
WELLS FARGO & CO.,72971
WENDY'S INTERNATIONAL,
WESTERN ATLAS,
WESTINGHOUSE ELECTRIC,
WESTVACO CORP.,106498
WEYERHAEUSER CORP.,
WHIRLPOOL CORP.,106640
WHITMAN CORP. (OLD),
WILLIAMS COS.,
WINN-DIXIE,
WOOLWORTH CORP.,850209
WORTHINGTON IND.,108516
WRIGLEY (WM) JR.,
XCEL ENERGY INC,72903
XEROX CORP.,108772
YELLOW CORP,
ZENITH ELECTRONICS,
ZURN INDUSTRIES,846657
ALLSTATE CORP.,899051
APPLIED MATERIALS,6951
BANK OF NEW YORK,9626
BOSTON SCIENTIFIC,885725
CUC INTERNATIONAL INC.,
CABLETRON SYSTEMS,846909
COMERICA INC.,28412
DARDEN RESTAURANTS,940944
FEDERATED DEPT. STORES,
FREEPORT-MCMORAN CP & GLD,
FRUIT OF THE LOOM,
GPU INC.,40779
HARRAH'S ENTERTAINMENT,
HARTFORD FINANCIAL SVC.GP.,
HUMANA INC.,49071
ITT INDUSTRIES,
LSI LOGIC,703360
LAIDLAW INC.,
LOCKHEED MARTIN CORP.,936468
LOEWS CORP.,60086
MEDIAONE GROUP,
MORGAN STANLEY,1071169
PPL CORP.,
PHARMACIA & UPJOHN,
REPUBLIC NEW YORK,
SILICON GRAPHICS,
TELLABS,
U.S. BANCORP (OLD2),
WILAMETTE INDUSTRIES,
3COM CORP.,738076
ALLEGHENY TECHNOLOGIES INC,1018963
AON CORP.,315293
BATTLE MOUNTAIN GOLD,
BAY NETWORKS,
CASE CORP.,
COGNIZANT CORP.,
DELL COMPUTER,
EMC CORP.,790070
FIFTH THIRD BANCORP,35527
FLEETWOOD ENTERPRISES(OLD),
GENERAL INSTRUMENT,352510
GREEN TREE FINANCIAL,890175
GUIDANT CORP.,
HFS INCORPORATED,
HARRIS CORP.(OLD),
J.P. MORGAN CHASE & CO.,
LUCENT TECHNOLOGIES,1006240
MBIA INC.,814585
MGIC INVESTMENT,876437
PEP BOYS(OLD),
SEAGATE TECHNOLOGY,1137789
TUPPERWARE CORP.,1008654
UNION PACIFIC RESOURCES GROUP,
WORLDCOM INC.-WORLDCOM GROUP,
ADOBE SYSTEMS,796343
ANADARKO PETROLEUM,773910
APACHE CORP.,6769
AUTOZONE INC.,866787
BB&T CORP.,92230
CBS CORP.,813828
CARDINAL HEALTH,
CENDANT CORPORATION,
CHARLES SCHWAB,87634
CINCINNATI FINANCIAL,20286
CLEAR CHANNEL COMMUNICATIONS,739708
CONSECO INC.,
COUNTRYWIDE CREDIT INDUSTRIES,
EQUIFAX INC.,33185
FIRSTENERGY CORP.,1031296
FORT JAMES CORP.,
FRONTIER CORP.,
HBO & COMPANY,
HEALTHSOUTH CORP.,785161
HUNTINGTON BANCSHARES,49196
KLA-TENCOR CORP.,
LAIDLAW INC.(OLD),
MIRAGE RESORTS,42246
NEXTLEVEL SYSTEMS,
OMNICOM GROUP,29989
OWENS-ILLINOIS,
PARAMETRIC TECHNOLOGY,857005
PROGRESSIVE CORP.,80661
STATE STREET CORP.,93751
SUNAMERICA INC.,795307
SYNOVUS FINANCIAL,18349
TRICON GLOBAL RESTAURANTS,
THERMO ELECTRON,97745
WASHINGTON MUTUAL,
AES CORP.,874761
AMEREN CORPORATION,
AMERICAN GREETINGS CLASS A,
ASCEND COMMUNICATIONS,
ASSOCIATES FIRST,7974
BMC SOFTWARE,835729
BEAR STEARNS COS.,
BESTFOODS INC.,
BIG LOTS,
CAPITAL ONE FINANCIAL,927628
CARNIVAL CORP.,815097
CITIGROUP INC.,831001
COCA-COLA ENTERPRISES,1491675
DANAHER CORP.,313616
DOLLAR GENERAL,29534
ELECTRONIC DATA SYSTEMS,1007456
FRANKLIN RESOURCES,38777
GATEWAY INC.,895812
GENERAL INSTRUMENT CORPORATION,
HCR MANOR CARE,
IMS HEALTH INC.,1058083
KOHL'S CORP.,
LEHMAN BROS.,
MERCANTILE BANCORP,1109546
MEYER (FED) INC.,
NEW CENTURY ENERGIES,
NEXTEL COMMUNICATIONS,824169
NORTHERN TRUST CORP.,73124
PAYCHEX INC.,723531
PEOPLESOFT INC.,875570
PROVIDENT,5513
RJR NABISCO,847903
REGIONS FINANCIAL CORP.,1281761
SAFEWAY INC.,86144
SEALED AIR CORP.(NEW),
SEMPRA ENERGY,1032208
SOLECTRON,
SPRINT CORP. PCS,
STAPLES INC.,791519
SUMMIT BANCORP,
USA EDUCATION INC,1032033
UNION PLANTERS CORPORATION,
WASHINGTON MUTUAL,1143930
WASTE MANAGEMENT INC.,823768
ADC TELECOMMUNICATIONS,61478
AFLAC INC.,4977
AOL TIME WARNER INC.,
ADAPTEC,
ALLIED WASTE INDUSTRIES,848865
AMSOUTH BANCORPORATION,3133
ANALOG DEVICES,6281
APPLERA CORP-APPLIED BIOSYSTEMS GROUP,
BB&T CORPORATION,
BED BATH & BEYOND,886158
BEST BUY CO.,
CMS ENERGY,811156
CENTURY TELEPHONE,
CITRIX SYSTEMS,877890
COMPUWARE CORP.,859014
COMVERSE TECHNOLOGY,803014
CONOCO INC.,
CONSTELLATION ENERGY GROUP,1004440
COORS (ADOLPH),
DELPHI AUTOMOTIVE SYSTEMS,
EL PASO CORP.,
FLORIDA PROGRESS,
GLOBAL CROSSING,1061322
HONEYWELL INT'L INC. (FORMERLY ALLIED SIGNAL),
KANSAS CITY SOUTHERN IND. (OLD),
LEGGETT & PLATT,58492
LEXMARK INT'L INC,
MCI WORLDCOM INC.,
MANOR CARE INC.,878736
MCKESSON CORP. (NEW),
MOLEX INC.,67472
NABISCO GROUP HOLDINGS,
NETWORK APPLIANCE,1002047
NORDSTROM,
NORTEL NETWORKS,72911
OFFICE DEPOT,800240
OLD KENT FINANCIAL,
PACTIV CORP.,1089976
PAINEWEBBER GROUP,
PINNACLE WEST CAPITAL,764622
QUALCOMM INC.,804328
QUINTILES TRANSNATIONAL,
RELIANT ENERGY,48732
SOUTHTRUST CORP.,92081
T. ROWE PRICE GROUP,
TERADYNE INC.,97210
TOSCO CORP.,
TRANSOCEAN SEDCO FOREX,
U.S. BANCORP,1142147
UNUMPROVIDENT CORP.,5513
VULCAN MATERIALS,103973
WATSON PHARMACEUTICALS,884629
WELLPOINT HEALTH NETWORKS,
XILINX,
YAHOO INC.,1011006
AETNA INC. (NEW),
AGILENT TECHNOLOGIES,1090872
ALLEGHENY ENERGY,3673
ALTERA CORP.,768251
AMBAC FINANCIAL GROUP,874501
AMERICAN POWER CONVERSION,
AVAYA INC.,1116521
BROADVISION INC.,920448
BIOGEN INC.,
BROADCOM CORPORATION,
CIT GROUP,1171825
CALPINE CORP.,916457
CHARTER ONE FINANCIAL,
CHIRON CORP.,706539
CONEXANT SYSTEMS,1069353
CONVERGYS CORP.,1062047
DEVON ENERGY CORP.,837330
DYNEGY INC. (NEW) CLASS A,
EOG RESOURCES,821189
FEDEX CORPORATION,
FLUOR CORP. (NEW),
FOREST LABORATORIES,38074
HCA - THE HEALTH CO,
HARLEY-DAVIDSON,
INTUIT,
JDS UNIPHASE CORP,912093
KEYSPAN ENERGY,
KINDER MORGAN,888228
KING PHARMACEUTICALS,1047699
LINEAR TECHNOLOGY CORP.,791907
MAXIM INTEGRATED PROD,743316
MEDIMMUNE INC.,873591
MERCURY INTERACTIVE,867058
METLIFE INC.,1099219
MOODY'S CORP,
NCR CORP.,70866
NABORS INDUSTRIES,798943
NISOURCE INC.,1111711
NOVELLUS SYSTEMS,
PP & L RESOURCES,
PALM INC.,1100389
PHARMACIA CORP,
POWER-ONE INC.,
QLOGIC CORP.,918386
QWEST COMMUNICATIONS INT,1037949
ROBERT HALF INTERNATIONAL,
SABRE HOLDING CORP.,
SANMINA-SCI CORP.,897723
SAPIENT CORP,1008817
SIEBEL SYSTEMS INC,
STARBUCKS CORP.,829224
STARWOOD HOTELS & RESORTS,48595
STILWELL FINACIAL,
STRYKER CORP.,310764
SYMBOL TECHNOLOGIES,
TIFFANY & CO.,98246
UNITEDHEALTH GROUP INC.,731766
VERITAS SOFTWARE,
VISTEON CORP.,1111335
VITESSE SEMICONDUCTOR,880446
WORLDCOM INC.,723527
AT&T WIRELESS SERVICES,
AMERISOURCEBERGEN CORP.,1140859
APPLIED MICRO CIRCUITS,711065
CIENA CORP.,936395
CINTAS CORPORATION,
CITIZENS COMMUNICATIONS,20520
CONCORD EFS INC.,740112
EQUITY OFFICE PROPERTIES,
EQUITY RESIDENTIAL PROP TR,
FISERV INC.,798354
FAMILY DOLLAR STORES,34408
GENZYME CORP.,732485
HEALTH MANAGEMENT ASSOC.,792985
IMMUNEX CORP.,
INTERNATIONAL GAME TECHNOLOGY,353944
JABIL CIRCUIT,898293
JOHN HANCOCK FINANCIAL,925683
JONES APPAREL GROUP,874016
MIRANT CORP,
NVIDIA CORP.,1045810
NOBLE DRILLING CORP.,
PMC-SIERRA INC.,
PEPSI BOTTLING GROUP,1076405
ROCKWELL COLLINS,1137411
STILWELL FINANCIAL,
TECO ENERGY,350563
TMP WORLDWIDE,1020416
UNIVISION COMMUNICATIONS,
XL CAPITAL,875159
ZIMMER HOLDINGS,1136869
ZIONS BANCORP,109380
3M COMPANY,
ACE LIMITED,
AT&T CORP. (NEW),
AMERICAN STANDARD,836102
ANTHEM,
APOLLO GROUP,929887
BJ SERVICES,864328
CENTERPOINT ENERGY,1166214
CHEVRONTEXACO CORP.,
COMCAST CORP.,1166691
CONOCOPHILLIPS,
COOPER INDUSTRIES,
COUNTRYWIDE FINANCIAL CORP.,25191
DELPHI CORPORATION,
ELECTRONIC ARTS,712515
EQUITY RESIDENTIAL,906107
FIRST TENNESSEE NATIONAL,
GOLDMAN SACHS GROUP,886982
INGERSOLL-RAND CO. LTD.,
LIMITED BRANDS,
MARATHON OIL CORP.,101778
MARSHALL & ILSLEY CORP.,62741
MEADWESTVACO CORPORATION,
MONSANTO CO.,1110783
NABORS INDUSTRIES LTD.,1163739
NOBLE CORPORATION,
NORTH FORK BANCORPORATION,352510
PLUM CREEK TIMBER CO.,849213
PRINCIPAL FINANCIAL GROUP,1126328
PRUDENTIAL FINANCIAL,1137774
QUEST DIAGNOSTICS,1022079
RJ REYNOLDS TOBACCO,
RATIONAL SOFTWARE,
ROCKWELL AUTOMATION,
SLM CORPORATION,
SIMON PROPERTY GROUP,
SUNGARD DATA SYSTEMS,789388
TOYS R US,
TRANSOCEAN INC.,1083269
TRAVELERS PROPERTY CASUALTY CORP.,919482
UNITED PARCEL SERVICE,1090727
UNITED STATES STEEL CORP.,1163302
WACHOVIA CORP. (NEW),
WATERS CORPORATION,
WYETH,5187
YUM! BRANDS,
EBAY INC.,1065088
ALTRIA GROUP,
APARTMENT INVESTMENT & MGMT'A',
AUTONATION,
BIOGEN IDEC INC.,875045
DELL INC.,826083
EXPRESS SCRIPTS,885721
FEDERATED INVESTORS INC.,1056288
JANUS CAPITAL GROUP,1065865
MCCORMICK & CO.,63754
MEDCO HEALTH SOLUTIONS INC.,1170650
MONSTER WORLDWIDE,1020416
PNC FINANCIAL SERVICES,713676
PROLOGIS,
SYMANTEC CORP.,849399
AFFILIATED COMPUTER,2135
ARCHSTONE-SMITH TRUST,
CAREMARK RX,1000736
CIENA CORP.,936395
COACH,
COMPASS BANCSHARES,18568
E*TRADE FINANCIAL CORP.,
FIRST HORIZON NATIONAL,36966
FISHER SCIENTIFIC,880430
FREESCALE SEMICONDUCTOR INC.,
GILEAD SCIENCES,882095
HOSPIRA INC.,1274057
JPMORGAN CHASE & CO.,19617
L-3 COMMUNICATIONS HOLDINGS,
LABORATORY CORP. OF AMERICA HOLDING,
M&T BANK CORP.,36270
MYLAN LABORATORIES,69499
NEWS CORPORATION,
OFFICEMAX INC.,
REGIONS FINANCIAL CORP. (NEW),
REYNOLDS AMERICAN INC.,1275283
SOVEREIGN BANCORP,811830
ST. PAUL TRAVELERS COS.,
VALERO ENERGY,1035002
WELLPOINT INC.,1156039
XTO ENERGY INC.,868809
AT&T INC.,732717
AMAZON CORP.,
AMERIPRISE FINANCIAL,
CONSTELLATION BRANDS,16918
COVENTRY HEALTH CARE INC.,
D.R. HORTON,
GENWORTH FINANCIAL INC.,1276520
LENNAR CORP.,920760
MOLSON COORS BREWING COMPANY,
MURPHY OIL,717423
NATIONAL OILWELL VARCO,
PATTERSON COS. INC.,
PUBLIC STORAGE,318380
SCRIPPS (E. W.) 'A',
SEARS HOLDINGS CORPORATION,
SPRINT NEXTEL CORP.,
SUNOCO,
THE HERSHEY COMPANY,
TYSON FOODS,100493
VORNADO REALTY TRUST,899689
WEATHERFORD INTERNATIONAL LTD.,1170565
AETNA INC.,1122304
BARR PHARMACEUTICALS,
BOSTON PROPERTIES,1037540
CA,
CB RICHARD ELLIS GROUP,
CONSOL ENERGY INC.,1070412
CELGENE CORP.,816284
CHESAPEAKE ENERGY,895126
CHICAGO MERCANTILE EXCHANGE,
COGNIZANT TECHNOLOGY SOLUTIONS,1058290
COMMERCE BANCORP,715096
DIRECTV GROUP INC.,
DEAN FOODS,27500
EMBARQ CORPORATION,
ESTEE LAUDER COS.,
FIDELITY NATIONAL INFORMATION SERVICES,
GOOGLE INC.,
HARMAN INT'L INDUSTRIES,
HESS CORPORATION,
IAC/INTERACTIVE CORP.,
ITT CORPORATION,
JDS UNIPHASE CORP.,912093
JUNIPER NETWORKS,1043604
KIMCO REALTY,879101
LEGG MASON,810868
PEABODY ENERGY,1064728
QUESTAR CORP.,751652
